id,uid,latitude,longitude,name,spot,station_number,maintenance,terminal_type,last_updated,date
1,6494751,50.573486,8.700008,JLU Phil. II / Haus F,True,4930,False,smart_sign,2024-12-02T17:00:03,2024-12-02
2,6494917,50.57525,8.697667,Rathenaustraße,True,4931,False,smart_sign,2024-12-02T17:00:03,2024-12-02
3,6510530,50.576216,8.69397,JLU Phil. I / Haus A,True,4932,False,smart_sign,2024-12-02T17:00:03,2024-12-02
4,6510628,50.576775,8.694906,JLU Phil. I / GCSC,True,4933,False,smart_sign,2024-12-02T17:00:03,2024-12-02
5,6510643,50.576661,8.692147,JLU Phil. I / Haus F,True,4934,False,smart_sign,2024-12-02T17:00:03,2024-12-02
6,6510660,50.585239,8.699665,JLU Sport / Kugelberg,True,4935,False,smart_sign,2024-12-02T17:00:03,2024-12-02
7,6510709,50.580753,8.695099,JLU Recht und Wirtschaft,True,4936,False,smart_sign,2024-12-02T17:00:03,2024-12-02
8,6510738,50.571078,8.674602,JLU Seltersberg / Leihgesterner Weg,True,4937,False,smart_sign,2024-12-02T17:00:03,2024-12-02
9,6510764,50.570978,8.672389,JLU Seltersberg / HRZ,True,4938,False,smart_sign,2024-12-02T17:00:03,2024-12-02
10,6510782,50.580418,8.664761,Bahnhof / Alte Post,True,4939,False,smart_sign,2024-12-02T17:00:03,2024-12-02
11,6510910,50.587148,8.682158,THM A / Wiesenstraße,True,4940,False,smart_sign,2024-12-02T17:00:03,2024-12-02
12,6510935,50.585584,8.684702,THM C / Moltkestraße,True,4941,False,smart_sign,2024-12-02T17:00:03,2024-12-02
13,6510957,50.589469,8.681104,THM D / Gutfleischstraße,True,4942,False,smart_sign,2024-12-02T17:00:03,2024-12-02
14,9916411,50.570486,8.665858,JLU Medizin / BFS,True,4924,False,smart_sign,2024-12-02T17:00:03,2024-12-02
15,10095597,50.574348,8.660046,JLU Seltersberg / Veterinärmedizin,True,4925,False,smart_sign,2024-12-02T17:00:03,2024-12-02
16,11792717,50.579946,8.67848,JLU Innenstadt / Universitätszentrum,True,4926,False,smart_sign,2024-12-02T17:00:03,2024-12-02
17,18602464,50.58453,8.680142,Rathaus / Berliner Platz,True,4927,False,smart_sign,2024-12-02T17:00:03,2024-12-02
18,18605055,50.587726,8.668395,Bahnhof Oswaldsgarten,True,4928,False,smart_sign,2024-12-02T17:00:03,2024-12-02
19,22249045,50.582722,8.673988,Johanneskirche,True,4922,False,smart_sign,2024-12-02T17:00:03,2024-12-02
20,31067477,50.565264,8.687189,Day Night Sports,True,4944,False,free,2024-12-02T17:00:03,2024-12-02
21,31067717,50.575709,8.70932,Landkreis Gießen / Riversplatz,True,4947,False,smart_sign,2024-12-02T17:00:03,2024-12-02
22,31068744,50.572309,8.682867,Bahnhaltepunkt Erdkauter Weg,True,4945,False,free,2024-12-02T17:00:03,2024-12-02
23,31069103,50.581435,8.696279,Bahnhaltepunkt Licher Straße,True,4946,False,free,2024-12-02T17:00:03,2024-12-02
24,33395116,50.568294,8.647932,Landkreis Gießen / Bachweg,True,4948,False,free,2024-12-02T17:00:03,2024-12-02
25,37022407,50.588102,8.677491,Landgraf-Philipp-Platz,True,4929,False,smart_sign,2024-12-02T17:00:03,2024-12-02
26,39051609,50.585137,8.671877,Bahnhofstraße,True,4949,False,smart_sign,2024-12-02T17:00:03,2024-12-02
27,63085276,50.564109,8.677573,Leihgesterner Weg / Unterhof,True,4950,False,free,2024-12-02T17:00:03,2024-12-02
28,63085409,50.58266,8.70796,Eichendorffring,True,4951,False,free,2024-12-02T17:00:03,2024-12-02
29,63085530,50.585204,8.71319,Grünberger Straße,True,4952,False,free,2024-12-02T17:00:03,2024-12-02
30,199524500,50.588952,8.672911,Dammstraße / Nordanlage CARGO,True,4953,False,free,2024-12-02T17:00:03,2024-12-02
31,320948129,50.578991,8.664509,Bahnhof / Alter Wetzlarer Weg CARGO,True,4954,False,free,2024-12-02T17:00:03,2024-12-02
32,373906191,50.581152,8.664379,Bahnhof/ Hinter der neuen Post,True,4955,False,free,2024-12-02T17:00:03,2024-12-02
33,410301475,50.586566,8.67686,Botanischer Garten,True,4957,False,free,2024-12-02T17:00:03,2024-12-02
34,410303716,50.588971,8.662469,Rodheimer Straße,True,4958,False,free,2024-12-02T17:00:03,2024-12-02
35,448135955,50.585716,8.657575,An den Hessenhallen,True,4959,False,free,2024-12-02T17:00:03,2024-12-02
36,457276510,50.590141,8.684306,Badezentrum Ringallee,True,4960,False,free,2024-12-02T17:00:03,2024-12-02
37,457277430,50.58871,8.679618,Landgericht,True,4961,False,free,2024-12-02T17:00:03,2024-12-02
38,457278656,50.565941,8.65186,Kleinlinden Autobahnbrücke,True,4962,False,free,2024-12-02T17:00:03,2024-12-02
39,457279354,50.592037,8.66542,Schützenstraße,True,4963,False,free,2024-12-02T17:00:03,2024-12-02
40,457280874,50.584309,8.66348,Stadtwerke Gießen,True,4964,False,free,2024-12-02T17:00:03,2024-12-02
41,466717105,50.581759,8.670118,Elefantenklo / Frankfurter Straße,True,4965,False,free,2024-12-02T17:00:03,2024-12-02
42,474323909,50.585692,8.67637,Neuen Bäue CARGO,True,4966,False,free,2024-12-02T17:00:03,2024-12-02
43,477962166,50.562927,8.647997,Kleinlinden Freibad,True,4967,False,free,2024-12-02T17:00:03,2024-12-02
44,477962791,50.59863,8.692892,Wiesecker Weg / Karl-Keller-Straße,True,4968,False,free,2024-12-02T17:00:03,2024-12-02
45,494150646,50.588132,8.675346,Dönerdreieck,True,4969,False,free,2024-12-02T17:00:03,2024-12-02
